CID	CanonicalSMILES	IUPACName	result	binding
50465050	CC1=CC=CC=C1NC(=O)C2=C(C(=CC=C2)NC(=O)C(C)N3CCC(CC3)C(=O)NC4=CC=CC(=C4)C(=O)NC5=C(C=CC(=C5)F)F)C	N-[3-[(2,5-difluorophenyl)carbamoyl]phenyl]-1-[1-[2-methyl-3-[(2-methylphenyl)carbamoyl]anilino]-1-oxopropan-2-yl]piperidine-4-carboxamide	0	0
42876591	CC(C)NC(=O)C1=CN2C=C(C=CC2=N1)C3=C(C=CC(=C3)Cl)OC	6-(5-chloro-2-methoxyphenyl)-N-propan-2-ylimidazo[1,2-a]pyridine-2-carboxamide	0	0
88074729	CC(CC1=CC=C(C=C1)NC2=C(C=C(C=C2)CC=O)[N+](=O)[O-])O	2-[4-[4-[(2S)-2-hydroxypropyl]anilino]-3-nitrophenyl]acetaldehyde	0	0
82244016	COC1=C2C(=O)C=C(NC2=C(C=C1)OC)CC#N	2-(5,8-dimethoxy-4-oxo-1H-quinolin-2-yl)acetonitrile	0	0
25934157	CCC1=CC(=CC=C1)NC(=O)C2=CC3=CC=CC=C3C=C2NC(=O)C4CC4	3-(cyclopropanecarbonylamino)-N-(3-ethylphenyl)naphthalene-2-carboxamide	0	0
701252	CN(C)S(=O)(=O)C1=CC=C(C=C1)NC(=O)CC2=CC=C(C=C2)F	N-[4-(dimethylsulfamoyl)phenyl]-2-(4-fluorophenyl)acetamide	0	0
75968174	CC1C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)N(C2CC3=CC=C(C=C3)OC4=C(C=CC(=C4)C(C(C(=O)N1)N(C2=O)C)O)OC5C(C(C(C(O5)CO)O)O)O)C)C)CC6=CC=C(C=C6)OC)C)C	28-hydroxy-10-[(4-methoxyphenyl)methyl]-4,7,9,13,15,29-hexamethyl-24-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-22-oxa-3,6,9,12,15,29-hexazatetracyclo[14.12.2.218,21.123,27]tritriaconta-18,20,23,25,27(31),32-hexaene-2,5,8,11,14,30-hexone	0	0
77515354	C1=CC(=CC=C1C#N)C2=CC3=C(C=C2)NC(=O)C4=NC=C(C34)C(=O)O	8-(4-cyanophenyl)-4-oxo-5,9b-dihydropyrrolo[2,3-c]quinoline-1-carboxylic acid	0	0
127544809	CC1=CC(=C(C=C1)C)OC(=O)NC2=CC=C(C=C2)C(C)C	(2,5-dimethylphenyl) N-(4-propan-2-ylphenyl)carbamate	0	0
100654622	CC1=CC=CC=C1CN(C(C)C(=O)NC(C)C)C(=O)CSCC2=C(C=C(C=C2)Cl)Cl	(2R)-2-[[2-[(2,4-dichlorophenyl)methylsulfanyl]acetyl]-[(2-methylphenyl)methyl]amino]-N-propan-2-ylpropanamide	0	0
7763031	C1=CC=C(C=C1)C(C2=CC=CC=C2)NC(=O)COC3=CC=CC=C3C=O	N-benzhydryl-2-(2-formylphenoxy)acetamide	0	0
59357087	C1CCC(C1)(C2=NC(=CC=C2)N3[C-]=CC(=N3)C(F)(F)F)C4=NC(=CC=C4)N5[C-]=CC(=N5)C(F)(F)F.[Pt+2]	platinum(2+);2-[5-(trifluoromethyl)-3H-pyrazol-3-id-2-yl]-6-[1-[6-[5-(trifluoromethyl)-3H-pyrazol-3-id-2-yl]pyridin-2-yl]cyclopentyl]pyridine	0	0
63923337	CCC(C)NC(=O)CNC1CCCS(=O)(=O)C1	N-butan-2-yl-2-[(1,1-dioxothian-3-yl)amino]acetamide	0	0
