0	CC1=CC=CC=C1NC(=O)C2=C(C(=CC=C2)NC(=O)C(C)N3CCC(CC3)C(=O)NC4=CC=CC(=C4)C(=O)NC5=C(C=CC(=C5)F)F)C	Cc1ccccc1C=O.cccc(cC)NC(=O)C(C)N1CCC(CC1)C(=O)Nc1cccc(c1)C(=O)Nc1cc(F)ccc1F
1	CC(C)NC(=O)C1=CN2C=C(C=CC2=N1)C3=C(C=CC(=C3)Cl)OC	COc1ccc(Cl)cc1-c1ccc2nc(cn2c1)O(C)(C)NC(C)C
2	CC(CC1=CC=C(C=C1)NC2=C(C=C(C=C2)CC=O)[N+](=O)[O-])O	CC(O)Cc1ccc(cc1)Nc1ccc(cc1[N+](=O)[O-])C[*]O
3	COC1=C2C(=O)C=C(NC2=C(C=C1)OC)CC#N	COC.COc1ccc(OC)c2c(=O)cc(C)[nH]c12
4	CCC1=CC(=CC=C1)NC(=O)C2=CC3=CC=CC=C3C=C2NC(=O)C4CC4	C=O.CCc1ccccc1.O=C(Nc1ccc2ccccc2c1)C1CC1
5	CN(C)S(=O)(=O)C1=CC=C(C=C1)NC(=O)CC2=CC=C(C=C2)F	CN(C)S(=O)(=O)c1ccccc1.Cc1ccc(F)cc1.[*]
6	CC1C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)N(C2CC3=CC=C(C=C3)OC4=C(C=CC(=C4)C(C(C(=O)N1)N(C2=O)C)O)OC5C(C(C(C(O5)CO)O)O)O)C)C)CC6=CC=C(C=C6)OC)C)C	C.COc1ccc(cc1)CC(C(=O)NC(C)C(=O)N(C)C1Cc2ccc(cc2)Oc2cc(ccc2OC2OC(CO)C(O)C(O)C2O)C(O)C(C(N)=O)N(C)C1=O)N(C)C(=O)C(C)O(C)C
7	C1=CC(=CC=C1C#N)C2=CC3=C(C=C2)NC(=O)C4=NC=C(C34)C(=O)O	CN=CC(=O)C1=CN=C2C(=O)Nc3ccc(cc3C12)-c1ccc(C#N)cc1
8	CC1=CC(=C(C=C1)C)OC(=O)NC2=CC=C(C=C2)C(C)C	Cc1ccc(C)c(c1)OO(C)(C)Nc1ccc(cc1)C(C)C
9	CC1=CC=CC=C1CN(C(C)C(=O)NC(C)C)C(=O)CSCC2=C(C=C(C=C2)Cl)Cl	Cc1ccccc1CN(C(=O)CSCc1ccc(Cl)cc1Cl)C(C)O(=CN)NC(C)C
10	C1=CC=C(C=C1)C(C2=CC=CC=C2)NC(=O)COC3=CC=CC=C3C=O	NC=O(COc1ccccc1C=O)NC(c1ccccc1)c1ccccc1
12	CCC(C)NC(=O)CNC1CCCS(=O)(=O)C1	CCC(C)NC(=O)C[*]C1CCCS(=O)(=O)C1
13	CC1=C(SC(=C1)NC(=O)C2=CC=CO2)C(=O)OCC(=O)NC(C)C3=CC=C(C=C3)Br	CC(NO=CN)c1ccc(Br)cc1.Cc1cc(NC(=O)c2ccco2)sc1C(=O)O
14	CC1=CC=C(C=C1)OCC2=NN=C(O2)SC(C)C(=O)C3=CC=C(C=C3)NC(=O)C(C)(C)C	C=O.CC(C)C.Cc1ccc(cc1)OCc1nnc(o1)SC(C)C(=O)c1ccccc1
15	CN(CCS(=O)(=O)C)C(=O)N	CN([*]N)CCS(C)(=O)=O
16	CCCCCC=CCC=CCCCCCCCCC(CCCCCCCCC=CCC=CCCCCC)(O)OCCCN(C)CCCCCCN=[N+]=[N-]	CCCCCC=CCC=CCCCCCCCC.CCCCCC=CCC=CCCCCCCCC.CCN(C)CCCCCCN=[N+]=[N-].O.O
17	COC(=O)OCC#CC(C1CCCCC1)O	COO(C)(C)OCC#CC(O)C1CCCCC1
18	CC(COC)NC(=O)C1=CN(C2=CC=CC=C21)CC3CCCN(C3)CC4=CC=CS4	COCC(C)NN(C(C)=O)c1cn(CC2CCCN(Cc3cccs3)C2)c2ccccc12
19	C1CC(C1)C2COCC2CN	N.NCCCC1CCC1
20	CC1=CC(=CC(=C1C(C)(CN)O)C)OC	COc1cc(C)c(c(C)c1)C(C)(CN)O(C)C
21	CC(C(=O)NC1=C(C=CS1)C(=O)N)SC2=NN=C(N2CC3CCCO3)C4=CC=C(C=C4)OC	COc1ccc(cc1)-c1nnc(SC(C)C(=O)Nc2sccc2C(N)=O)n1CC1CCCO1
22	CC(C)C(C(=O)N(CC1=NC=CN=C1OC)C(C)C)N	CCC.COc1nccnc1CNC(C)C.N
23	C1CC1(C(=O)NCCC2=CNC3=CC=CC=C32)C(=O)NCC4=CC=CC=C4Cl	NC=O(NCCc1c[nH]c2ccccc12)C1(CC1)C(=O)NCc1ccccc1Cl
24	CC(C)C1=C(C=CC(=C1)C2=CSC(=N2)CC(=O)O)OCC3=CC=CC=C3	CC(C)c1cc(ccc1OCc1ccccc1)-c1csc(CO(C)(C)O)n1
25	CCC(C)(C(=O)N(CC)CCN)OC	CCN(CCO=CN)C(=O)C(C)(CC)OC
26	CN1C=C(N(C1N=NC2=C(C=C(C=C2)NC3=CC=C(C=C3)N)C4=CN(C(N4C)N=NC5=CC=C(C=C5)NC6=CC=C(C=C6)N)C)C)CN(C)C7=NC=NC=N7	CN(CC1=CN(C)C(N)N1C)c1ncncn1.CN1C=C(c2cccc(c2)Nc2ccc(N)cc2)N(C)C1N=Nc1ccc(cc1)Nc1ccc(N)cc1
27	COC(=O)COC1=CC=CC(=C1)NC(=O)CNC(=O)C2=COC=C2	COO(C)(C)COc1cccc(c1)NC(=O)CNC(=O)c1ccoc1
28	COC(=O)C1=CC=CC=C1N2C(=O)CC(C2=O)N3CCC4=C(C3)C5=C(N4)C(=CC=C5)Br	CC(N)=O.O.O=C1CC(C(=O)N1c1ccccc1)N1CCc2[nH]c3c(Br)cccc3c2C1
29	CCC12CCCN3C1C4=C(C(=O)C3)C5=CC=CC=C5N4C(C2)(C(=O)OC)O	CCC12CCCN3CC(C(C)=O)c4c(C31)n(c1ccccc41)C(O)(C2)C(=O)OC
30	CCCOC1=C(C=C(C=C1)C2=C(C(=O)N(C2C3=CC(=C(C=C3)Cl)[N+](=O)[O-])C4=CC5=CC=CC=C5C=C4)O)OC	CCCOc1ccc(cc1OC)C1=C(O)[*](O)N(c2ccc3ccccc3c2)C1c1ccc(Cl)c(c1)[N+](=O)[O-]
31	CC(C)CCNC(=O)C1CCN(CC1)C(=O)C(=O)NC2=CC=CC(=C2)COC(C)C	CC(C)OCc1cccc(c1)NC(=O)C(=O)N1CCCCC1.CCC(C)C.COC
32	CCC(C1=CC=CC=C1OCC)NC(=O)N2CC3C4CCC(C3C2)O4	C.NC=O.cccccC(CC)NC(=O)N1CC2C3CCC(O3)C2C1
33	COC(=O)C1=CC=CC=C1NC(=O)C2CC(=O)N(C2)CC3=CC=CC=C3	CC(=O)N(C)Cc1ccccc1.COC(=O)c1ccccc1C=O
34	CC1=C(C(=NN1)C)CNC(=O)CCC(=O)OC	C.Cc1n[nH]c(C)c1CNC(=O)CCC=O
35	C1=CC2=C(C=C1C3=CC(=NO3)N)NC(=O)O2	O=C(F)c1cc(on1)-c1ccc2oc(=O)[nH]c2c1
36	CC(C)(C)NCC(COCC1=CC=CS1)O.C(=O)(C(=O)O)O	CC(C)(C)NCC(O)COCc1cccs1.CO(C)C(=O)O
37	C1CCCC(CC1)(C2=CC=CC=C2)C(=O)OC3C[N+]4(CCC3CC4)CC(=O)NC5=C(C=CC=N5)F	COC.C[N+]12CCC(CC1)C(C2)OC(=O)C1(CCCCCC1)c1ccccc1.Fc1cccnc1
38	CC1=CC=CC2=C1C(=C(C=C2)S(=O)(=O)[O-])C.[Na+]	Cc1cccc2ccc(c(C)c12)C(=O)(=O)(=O)[O-].[Na+]
39	CC1C2=NC(=CN2CCN1CC3=CSC=C3)C(=O)NC(C)C	CC(C)NC(=O)c1cn2CCN(Cc3ccsc3)C(C)c2n1
40	CCC(C)CNC(=O)N1CCCC(C1C(=O)O)C	CCC(C)CNC(=O)N1CCCC(C)C1C=O
41	CC(C)CCCC(C)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)OC=CC(=O)OC)C)C	C.CC(C)CCCC(C)C1CCC2C3CCC4CC(CCC4(C)C3CCC12C)OC=CC=O
42	C1C=CCN1C(=CC2=C(C=CC(=C2)O)O)C(=O)O	O=C(O)C(=Cc1cc(O)ccc1O)N1CC=CC1
43	COC1=CC=CC=C1C(=O)C2=CC3=C(CCNC3=O)C=C2	CCc1ccc(cc1)C(=O)c1ccccc1OC.COC
44	CCC1COC(CN1CC2=CC(=CC=C2)CN)C	C.CCCN(C)Cc1cccc(c1)CN.N
45	CC=CC=C(C)C1=CC(=CC(=C1)C(=CC)C=CC)C2=CC=C(C=C2)C3C4=C(C5=CC=CC=C35)C6=C(C=C4)SC7=CC=CC=C76	CC=CC=C(C)c1cc(cc(c1)-c1ccc(cc1)C1c2ccccc2-c2c1ccc1c2c2ccccc2n1N)C(C=CC)=CC
46	CCC1C(C=C(C=CC(=O)C(CC(C(C(C(=CC(=O)O1)O)C)OC2C(C(C(C(O2)C)O)N(C)C)O)CC=O)C)C)COC3C(C(C(C(O3)C)OC(=O)C)OC)OC	C.CCC(OC(=O)C=C(O)C(C)C(OC1OC(C)C(O)C(C1O)N(C)C)C(C)CC=O)C(C=C(C)C=C(C)=O)COC1OC(C)C(OC(C)=O)C(OC)C1OC
